Orthogroup	Ceratina_australensis-longest-isoforms	Ceratina_calcarata-longest-isoforms	Liostenogaster_flavolineata-longest-isoforms	Megalopta_genalis-longest-isoforms	Polistes_canadensis-longest-isoforms	Polistes_dominula-longest-isoforms
OG0010889	Caust.v2_010920					
OG0010890	Caust.v2_010919					
OG0010891	Caust.v2_010922					
OG0010892	Caust.v2_010939					
OG0010893	Caust.v2_010947					
OG0010894	Caust.v2_010921					
OG0010895	Caust.v2_010936					
OG0010896	Caust.v2_010933					
OG0010897	Caust.v2_010940					
OG0010898	Caust.v2_010935					
OG0010899	Caust.v2_010944					
OG0010900	Caust.v2_010923					
OG0010901	Caust.v2_010934					
OG0010902	Caust.v2_010937					
OG0010903	Caust.v2_010938					
OG0010904	Caust.v2_010072					
OG0010905	Caust.v2_010081					
OG0010906	Caust.v2_010064					
OG0010907	Caust.v2_011731					
OG0010908	Caust.v2_013503					
OG0010909	Caust.v2_013493					
OG0010910	Caust.v2_013502					
OG0010911	Caust.v2_013506					
OG0010912	Caust.v2_013508					
OG0010913	Caust.v2_013511					
OG0010914	Caust.v2_013498					
OG0010915	Caust.v2_013494					
OG0010916	Caust.v2_013491					
OG0010917	Caust.v2_013495					
OG0010918	Caust.v2_013496					
OG0010919	Caust.v2_013504					
OG0010920	Caust.v2_013507					
OG0010921	Caust.v2_013497					
OG0010922	Caust.v2_013492					
OG0010923	Caust.v2_013509					
OG0010924	Caust.v2_021812					
OG0010925	Caust.v2_018965					
OG0010926	Caust.v2_016391					
OG0010927	Caust.v2_016389					
OG0010928	Caust.v2_016390					
OG0010929	Caust.v2_016387					
OG0010930	Caust.v2_016388					
OG0010931	Caust.v2_016190					
OG0010932	Caust.v2_016191					
OG0010933	Caust.v2_016189					
OG0010934	Caust.v2_016188					
OG0010935	Caust.v2_016272					
OG0010936	Caust.v2_016264					
OG0010937	Caust.v2_016275					
OG0010938	Caust.v2_016269					
OG0010939	Caust.v2_016268					
OG0010940	Caust.v2_016270					
OG0010941	Caust.v2_016267					
OG0010942	Caust.v2_016274					
OG0010943	Caust.v2_022702					
OG0010944	Caust.v2_017974					
OG0010945	Caust.v2_017975					
OG0010946	Caust.v2_017976					
OG0010947	Caust.v2_017977					
OG0010948	Caust.v2_019910					
OG0010949	Caust.v2_008489					
OG0010950	Caust.v2_008472					
OG0010951	Caust.v2_008491					
OG0010952	Caust.v2_008474					
OG0010953	Caust.v2_008480					
OG0010954	Caust.v2_008457					
OG0010955	Caust.v2_008478					
OG0010956	Caust.v2_008484					
OG0010957	Caust.v2_008458					
OG0010958	Caust.v2_008462					
OG0010959	Caust.v2_008479					
OG0010960	Caust.v2_008482					
OG0010961	Caust.v2_013167					
OG0010962	Caust.v2_013165					
OG0010963	Caust.v2_013164					
OG0010964	Caust.v2_015783					
OG0010965	Caust.v2_015789					
OG0010966	Caust.v2_021423					
OG0010967	Caust.v2_013572					
OG0010968	Caust.v2_013570					
OG0010969	Caust.v2_013564					
OG0010970	Caust.v2_013560					
OG0010971	Caust.v2_013571					
OG0010972	Caust.v2_013573					
OG0010973	Caust.v2_013576					
OG0010974	Caust.v2_013575					
OG0010975	Caust.v2_013569					
OG0010976	Caust.v2_013574					
OG0010977	Caust.v2_004535					
OG0010978	Caust.v2_004524					
OG0010979	Caust.v2_004552					
OG0010980	Caust.v2_004561					
OG0010981	Caust.v2_004570					
OG0010982	Caust.v2_004541					
OG0010983	Caust.v2_004549					
OG0010984	Caust.v2_004551					
OG0010985	Caust.v2_004569					
OG0010986	Caust.v2_004571					
OG0010987	Caust.v2_004553					
OG0010988	Caust.v2_004558					
OG0010989	Caust.v2_004557					
OG0010990	Caust.v2_004562					
OG0010991	Caust.v2_022287					
OG0010992	Caust.v2_019761					
OG0010993	Caust.v2_019762					
OG0010994	Caust.v2_017179					
OG0010995	Caust.v2_015417					
OG0010996	Caust.v2_015415					
OG0010997	Caust.v2_015413					
OG0010998	Caust.v2_015412					
OG0010999	Caust.v2_015410					
OG0011000	Caust.v2_015416					
OG0011001	Caust.v2_015409					
OG0011002	Caust.v2_017750					
OG0011003	Caust.v2_017749					
OG0011004	Caust.v2_017748					
OG0011005	Caust.v2_020184					
OG0011006	Caust.v2_020182					
OG0011007	Caust.v2_021748					
OG0011008	Caust.v2_022183					
OG0011009	Caust.v2_018524					
OG0011010	Caust.v2_018521					
OG0011011	Caust.v2_016254					
OG0011012	Caust.v2_016246					
OG0011013	Caust.v2_016248					
OG0011014	Caust.v2_016250					
OG0011015	Caust.v2_016252					
OG0011016	Caust.v2_016249					
OG0011017	Caust.v2_016251					
OG0011018	Caust.v2_016253					
OG0011019	Caust.v2_016245					
OG0011020	Caust.v2_014247					
OG0011021	Caust.v2_014254					
OG0011022	Caust.v2_014255					
OG0011023	Caust.v2_014256					
OG0011024	Caust.v2_014253					
OG0011025	Caust.v2_014252					
OG0011026	Caust.v2_014245					
OG0011027	Caust.v2_014249					
OG0011028	Caust.v2_016593					
OG0011029	Caust.v2_016591					
OG0011030	Caust.v2_016589					
OG0011031	Caust.v2_016592					
OG0011032	Caust.v2_016590					
OG0011033	Caust.v2_016136					
OG0011034	Caust.v2_016131					
OG0011035	Caust.v2_016133					
OG0011036	Caust.v2_009091					
OG0011037	Caust.v2_009083					
OG0011038	Caust.v2_009092					
OG0011039	Caust.v2_009093					
OG0011040	Caust.v2_009102					
OG0011041	Caust.v2_009107					
OG0011042	Caust.v2_009114					
OG0011043	Caust.v2_009113					
OG0011044	Caust.v2_009106					
OG0011045	Caust.v2_009109					
OG0011046	Caust.v2_009112					
OG0011047	Caust.v2_018181					
OG0011048	Caust.v2_018180					
