geneID	moduleColor	GS.Reproductives	GS.NonReproductives	p.GS.Reproductives	MM.pink	p.MM.pink	MM.brown	p.MM.brown	MM.black	p.MM.black	MM.green	p.MM.green	MM.yellow	p.MM.yellow	MM.red	p.MM.red	MM.grey	p.MM.grey	MM.turquoise	p.MM.turquoise	MM.blue	p.MM.blue
gene-LOC107074166	black	0.70788946323858	-0.70788946323858	0.000108980338375604	-0.462970553340482	0.0227128026115763	0.0744023950907071	0.72970565806111	0.900154133313925	0.00000000212148374492618	-0.25514875084466	0.228867214534906	-0.534491458268707	0.00713044778256411	0.343640228597201	0.100149815653074	0.410526612209821	0.0463017063097892	-0.509223724016981	0.0110380898309557	-0.240958339914951	0.25669176969976
gene-LOC107071582	black	-0.707773831349449	0.707773831349449	0.000109389672554479	0.619613471885537	0.00124205502162352	-0.193884640313698	0.363990495903888	-0.797614565143729	0.00000304648272871007	0.0295176883686487	0.891096939576635	0.741631949167729	0.0000336478938185267	-0.467547469455529	0.0212357087947242	-0.6267377356871	0.00104871747617345	0.546530347482398	0.00572219574431712	0.00624606104855757	0.976891716762903
gene-LOC107066048	black	0.681969459972361	-0.681969459972361	0.000242258461906961	-0.311025293358071	0.139048477557764	0.0100576924813783	0.962797694002696	0.775351874141827	0.00000858279981533542	-0.193020968475074	0.366172808479703	-0.461837690557487	0.0230909236745157	0.359050097339124	0.0848753220272519	0.341380357957955	0.102550694532796	-0.525946438225505	0.00829630048509207	-0.298314974171726	0.156804458658104
gene-LOC107071131	black	-0.680862837012982	0.680862837012982	0.000250224078802997	0.583318529438775	0.0027721642713348	-0.104035971517154	0.628543163962269	-0.812978580968532	0.00000138029418939553	0.0372173772103702	0.862924012969875	0.709505671750613	0.000103397680133349	-0.4298197809777	0.0360573457441183	-0.640614005833239	0.000745263238176546	0.621946371659513	0.0011756347435062	0.0394453623755332	0.854800521643725
gene-LOC107072578	black	0.672422082144178	-0.672422082144178	0.000318853246476244	-0.367714532394087	0.0770953838142959	0.102409739788155	0.633949180875963	0.792657528079158	0.00000387785008518394	-0.198820121830769	0.351665331598789	-0.520626293648839	0.00909911326829821	0.190086664998617	0.373643653295213	0.418566198433806	0.0417870401611118	-0.48277293584606	0.0168714734761162	-0.176192740433111	0.410190835640843
gene-LOC107074361	black	0.665313501312622	-0.665313501312622	0.000388786446272902	-0.585371444309313	0.00265563475562893	0.059276693728486	0.783212746763501	0.824442165503946	0.000000728640584860607	-0.0709576906069731	0.741793925782256	-0.700238090568855	0.000139144964017309	0.415579100778736	0.0434221380064647	0.57895878237741	0.0030340830019691	-0.580720261383477	0.00292584223446525	-0.0952393073738112	0.657999725016314
gene-LOC107069302	black	0.659435387798007	-0.659435387798007	0.000456299646449332	-0.415624498296675	0.0433969177322721	0.00739300153038086	0.97264985646986	0.730496421820737	0.0000505349123079925	0.150258990236703	0.483419207032606	-0.649688358928123	0.000590691846615479	0.285863385107775	0.175692840375688	0.638110633774539	0.000793596681448669	-0.655834259286941	0.000502489456037121	-0.139188350340181	0.516565423187628
gene-LOC107067626	black	0.659126116198407	-0.659126116198407	0.000460116664359973	-0.517982318272268	0.00952143643435388	-0.0815285704458802	0.704898425135055	0.909653258183701	0.000000000739188713199394	0.099141778460372	0.644867613230014	-0.648899026332437	0.000602935145230087	0.39117798571269	0.0587332503713037	0.571546616984323	0.00352749126101097	-0.715310924790587	0.000085354614889695	-0.281973207254427	0.181904254507321
gene-LOC107071509	black	0.657868576062965	-0.657868576062965	0.000475923369111933	-0.324065915265555	0.122376817215952	0.135608813100629	0.527511795880209	0.743990782182302	0.0000307900944609345	-0.368987663470158	0.0759993468617465	-0.398269075086145	0.0539093299727835	0.368111137071315	0.0767526713913041	0.321126782964892	0.126000827318089	-0.397026446861271	0.0547316546970738	-0.190394941202853	0.372854674810295
gene-LOC107073309	black	-0.655658452949937	0.655658452949937	0.000504844376498994	0.361368224566018	0.0827383635150923	0.0247864367609832	0.908474268748127	-0.801379144750695	0.00000252517258892499	0.171709745593321	0.422390287121115	0.418235225411556	0.04196578714892	-0.33429752429925	0.110351271122525	-0.335542389135229	0.108949644435893	0.5461339544485	0.0057645358918439	0.354833034327693	0.0888688421609811
gene-LOC107065944	black	0.65364218798025	-0.65364218798025	0.000532542514262809	-0.505131965828749	0.0118120486172064	0.0183466541389439	0.932190944060065	0.900824120186747	0.00000000197636987411983	-0.115815113022921	0.589951475879449	-0.61184147068125	0.00148706113910131	0.37401378133102	0.0717874396369161	0.520114139332245	0.00917968347527682	-0.603312179348672	0.00180241083909459	-0.237586046464942	0.26361173093666
gene-LOC107067447	black	0.645620182837779	-0.645620182837779	0.000656169412453654	-0.584954324393164	0.00267896904991801	0.0443983363764795	0.836793736492432	0.815601260605461	0.00000119721495397994	0.0249073216433892	0.90802973176364	-0.718225235501303	0.0000773855761451547	0.46577006981355	0.0217998025630704	0.60306479201805	0.00181234850100014	-0.58603172848744	0.00261905016913061	-0.108284727175494	0.614506901942534
gene-LOC107068013	black	0.633034347704371	-0.633034347704371	0.00089994942962826	-0.321708555647955	0.125277394890845	0.0572461563571357	0.790474822493122	0.833031966528109	0.000000437823915228254	0.0236416613223235	0.912685321317926	-0.651818686319342	0.000558714547989779	0.483647923890623	0.0166448072671712	0.642282527732416	0.000714476765478564	-0.600629860506986	0.00191268138197463	-0.0985365358774633	0.64689768641643
gene-LOC107068249	black	-0.624583523356384	0.624583523356384	0.00110424260458956	0.504769976858474	0.0118826184749782	-0.0509739195281307	0.813011636095448	-0.876306932823134	0.0000000199507984592483	0.0921676637017295	0.668405751570122	0.684930207344431	0.000222022003603741	-0.354224656021309	0.089456389501786	-0.577327415118521	0.00313733457793265	0.607832790954852	0.00162883216253643	0.112703345295545	0.600047518075965
gene-LOC107064195	black	0.617872043137682	-0.617872043137682	0.00129370868503875	-0.451681478795321	0.0267127354711016	-0.0571567091944988	0.790795118163127	0.895502415800416	0.00000000342369884161499	-0.236668103390983	0.265515870775227	-0.512781720703121	0.0103995711677588	0.191860422171223	0.369117178553176	0.344193520912824	0.0995684016372223	-0.542595705868205	0.00615422661126363	-0.320192188812166	0.127169317515515
gene-LOC107072518	black	-0.601873719134018	0.601873719134018	0.00186085143500189	0.622001570888094	0.00117410080904466	-0.104208846608413	0.627969563722298	-0.793403732415744	0.00000374106788629896	0.168212351517341	0.432043216888351	0.510194421696953	0.0108607625351576	-0.313544962733585	0.135707064786851	-0.336744910891735	0.107608164145845	0.456222743658806	0.0250407302402294	0.180554862470695	0.39850966386356
gene-LOC107063815	black	-0.601322017204329	0.601322017204329	0.00188369034549995	0.64277660217774	0.000705573582046	-0.0635858529983663	0.767860081577384	-0.824609911736723	0.000000721617961852794	-0.137471373311891	0.521802312854595	0.629996533431432	0.000969283189803403	-0.615051954970633	0.00138126070977604	-0.591489789552697	0.00233267990229118	0.622120172496857	0.00117081078819327	0.16199469805633	0.449493752215452
gene-LOC107068185	black	0.600899034081126	-0.600899034081126	0.00190136214578174	-0.540327782466277	0.00641541063019282	-0.0501480571335292	0.815990212942364	0.941213445282664	0.00000000000759745548940479	-0.0427899430744184	0.842632863001744	-0.678834370051525	0.000265418402216829	0.345675467698828	0.0980234657327101	0.576132623725678	0.00321482789187221	-0.638864095780302	0.00077877324090066	-0.194878844552963	0.361487742880982
gene-LOC107067327	black	0.599455813974401	-0.599455813974401	0.00196272644568516	-0.461441316392197	0.0232244165610878	-0.0645644183353765	0.764385198139681	0.939008728734327	0.0000000000112732877223841	-0.154972206133525	0.469641398395213	-0.497033849899719	0.0134758139485466	0.40665108474215	0.0486100651110851	0.391742242236295	0.0583376169831388	-0.579814480502957	0.00298108529997377	-0.368097738682028	0.076764230280328
gene-LOC107065623	black	0.596224048065934	-0.596224048065934	0.0021062862986752	-0.382092982273627	0.0653925504158543	-0.0875571618012493	0.684136405311053	0.802500698307702	0.00000238603304192952	-0.181802726668744	0.395202678603613	-0.516172166610747	0.00981983419816401	0.367653250058869	0.0771484420761669	0.314127985440543	0.134942185385839	-0.547316034223981	0.00563904324208606	-0.359952978529709	0.0840381262107228
gene-LOC107074150	black	-0.594699538731387	0.594699538731387	0.00217705140085712	0.39863674289164	0.053667868163114	-0.0254388785412367	0.906075326343194	-0.781078420026427	0.00000665050338151268	0.108729921155172	0.613043611206741	0.752094417764475	0.0000225322241700992	-0.236493462757142	0.265879131999571	-0.643294575688169	0.000696342633717507	0.570133281116116	0.00362887862425108	-0.00806790356209682	0.970154118641512
gene-LOC107071334	black	0.589638742597787	-0.589638742597787	0.0024266568784669	-0.58834968452192	0.00249398566999531	0.106182403682189	0.621436166800767	0.833593066103704	0.000000423078137261862	-0.100751680584735	0.639479765646986	-0.761467877525295	0.0000154692851702958	0.151420632593705	0.480004644255687	0.609818836305924	0.00155721435667509	-0.500996473242696	0.012639162812194	0.0545994453433813	0.799965972228354
gene-LOC107072737	black	-0.580506812273331	0.580506812273331	0.00293878161656393	0.395621669397767	0.0556729553295073	-0.0221816093084702	0.918059413336218	-0.842530368240872	0.000000240883408561029	-0.0805121149755978	0.708419729809209	0.633466587446549	0.000890439715196311	-0.459351825949215	0.0239384541539428	-0.607182277822686	0.00165289349802656	0.623931409367358	0.00112154062513167	0.134450501378405	0.531077352351584
gene-LOC107065698	black	0.579767103052443	-0.579767103052443	0.00298399897465876	-0.442523004050676	0.03035703613149	-0.119058971951741	0.579505125309137	0.950167853224328	0.00000000000128666068902056	0.0784700587103648	0.715511503701014	-0.689554428425684	0.000193358284968003	0.346505289753855	0.0971661855366268	0.629264424104737	0.000986662844283726	-0.719240351204421	0.0000747672594193582	-0.249494086503689	0.239704861780478
