Orthogroup	Apis_mellifera-longest-isoforms	Liostenogaster_flavolineata-longest-isoforms	Polistes_canadensis-longest-isoforms	Polistes_dominula-longest-isoforms
OG0008797	NP_001011582.1			
OG0008798	NP_001011607.1			
OG0008799	NP_001011612.1			
OG0008800	NP_001011613.1			
OG0008801	NP_001011618.1			
OG0008802	NP_001035310.1			
OG0008803	NP_001073564.1			
OG0008804	NP_001129381.1			
OG0008805	NP_001129678.1			
OG0008806	NP_001129679.1			
OG0008807	NP_001129680.1			
OG0008808	NP_001129681.1			
OG0008809	NP_001153742.1			
OG0008810	NP_001155260.1			
OG0008811	NP_001161308.1			
OG0008812	NP_001164522.1			
OG0008813	NP_001177743.1			
OG0008814	NP_001239359.1			
OG0008815	NP_001242969.1			
OG0008816	NP_001265254.1			
OG0008817	NP_001265635.1			
OG0008818	NP_001314894.1			
OG0008819	XP_001120224.2			
OG0008820	XP_001120476.1			
OG0008821	XP_001120530.1			
OG0008822	XP_001120589.2			
OG0008823	XP_001120792.2			
OG0008824	XP_001120795.1			
OG0008825	XP_001121093.2			
OG0008826	XP_001121147.2			
OG0008827	XP_001121746.2			
OG0008828	XP_001122876.4			
OG0008829	XP_003249210.2			
OG0008830	XP_003249650.2			
OG0008831	XP_003249879.2			
OG0008832	XP_003250133.2			
OG0008833	XP_003250137.2			
OG0008834	XP_003250171.1			
OG0008835	XP_003250395.2			
OG0008836	XP_003250581.2			
OG0008837	XP_003250834.2			
OG0008838	XP_003250980.1			
OG0008839	XP_003251083.3			
OG0008840	XP_003251112.1			
OG0008841	XP_003251506.2			
OG0008842	XP_003251713.4			
OG0008843	XP_006557435.1			
OG0008844	XP_006557674.1			
OG0008845	XP_006557702.1			
OG0008846	XP_006557875.2			
OG0008847	XP_006557933.2			
OG0008848	XP_006557939.2			
OG0008849	XP_006557977.1			
OG0008850	XP_006557980.1			
OG0008851	XP_006558059.1			
OG0008852	XP_006558186.1			
OG0008853	XP_006558226.1			
OG0008854	XP_006558298.1			
OG0008855	XP_006558377.1			
OG0008856	XP_006558474.1			
OG0008857	XP_006558491.1			
OG0008858	XP_006558504.1			
OG0008859	XP_006558671.2			
OG0008860	XP_006558685.1			
OG0008861	XP_006558724.2			
OG0008862	XP_006558732.1			
OG0008863	XP_006558738.3			
OG0008864	XP_006558748.1			
OG0008865	XP_006558773.1			
OG0008866	XP_006558871.1			
OG0008867	XP_006558873.1			
